method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_records
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_semantic_shuffled_budget_matched_0.0003_late045,3,0.206,0.3528,0.17511578947368428,0.1468,0.206,0.206,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_semantic_shuffled_budget_matched_0.0003_late045,4,0.4047,0.724,0.3071736842105263,0.3193,0.4047,0.4047,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_semantic_shuffled_budget_matched_0.0003_late045,5,0.2112,0.2928,0.16743421052631577,0.0816,0.2112,0.2112,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_semantic_shuffled_budget_matched_0.0003_late045,6,0.2104,0.2626,0.16366052631578945,0.052199999999999996,0.2104,0.2104,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_semantic_shuffled_budget_matched_0.0003_late045,7,0.2848,0.4668,0.20204999999999998,0.182,0.2848,0.2848,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_semantic_shuffled_budget_matched_0.0003_late045,8,0.2062,0.3123,0.19195789473684216,0.10610000000000003,0.2062,0.2062,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_budget_matched_0.0003_late045,1,0.1599,0.3079,0.1540026315789474,0.14800000000000002,0.1599,0.1599,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_budget_matched_0.0003_late045,2,0.2795,0.53,0.2066894736842105,0.2505,0.2795,0.2795,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_budget_matched_0.0003_late045,3,0.3569,0.7144,0.24005263157894732,0.35750000000000004,0.3569,0.3569,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_budget_matched_0.0003_late045,4,0.2185,0.2883,0.18482368421052628,0.0698,0.2185,0.2185,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_budget_matched_0.0003_late045,5,0.192,0.2998,0.16885,0.1078,0.192,0.192,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_budget_matched_0.0003_late045,6,0.134,0.285,0.11393684210526316,0.15099999999999997,0.134,0.134,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_budget_matched_0.0003_late045,7,0.2381,0.3585,0.2030157894736842,0.12039999999999998,0.2381,0.2381,2959.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_budget_matched_0.0003_late045,8,0.298,0.4819,0.22908684210526314,0.1839,0.298,0.298,3000.0
