best_reference_arm,category,chosen_arm,context,domain,effect_vs_gated,effect_vs_noalign,effect_vs_safe,experiment,gated,gated_interaction,gated_interaction_normalized,noalign,normalized_effect_vs_noalign,online_gain_vs_reference_noalign,online_regret_to_better_reference_arm,online_total_team_mean_payoff,payoff_prompt,reference_selection_regret,regret_to_better_fixed_arm,route_match,route_original,route_swapped,safe_interaction,safe_interaction_normalized,seed,selection_correct,temporal_replay_drift_gated,temporal_replay_drift_noalign
,coord_or_boundary,,p3_m04,,-0.4800000000000004,-0.4400000000000004,-0.5066666666666659,p0,2.5600000000000005,,,2.5200000000000005,-0.1100000000000001,,,,2.08,,0.4800000000000004,,,,,,103,,0.11333333333333373,-0.06000000000000005
,coord_or_boundary,,p3_m04,,-0.3600000000000003,-0.3200000000000003,-0.26666666666666705,p0,2.533333333333333,,,2.493333333333333,-0.08000000000000007,,,,2.173333333333333,,0.3600000000000003,,,,,,104,,0.026666666666666394,-0.12666666666666648
,coord_or_boundary,,p3_m04,,-0.6199999999999997,-0.43999999999999995,-0.48666666666666725,p0,2.7399999999999998,,,2.56,-0.10999999999999999,,,,2.12,,0.6199999999999997,,,,,,105,,0.0066666666666663765,0.03333333333333366
,coord_or_boundary,,p3_m04,,-0.7866666666666664,-0.6599999999999999,-0.4666666666666661,p0,2.753333333333333,,,2.6266666666666665,-0.16499999999999998,,,,1.9666666666666666,,0.7866666666666664,,,,,,106,,0.38666666666666627,0.013333333333332753
,coord_or_boundary,,p3_m04,,-0.4866666666666668,-0.6866666666666661,-0.6333333333333329,p0,2.426666666666667,,,2.6266666666666665,-0.17166666666666652,,,,1.9400000000000004,,0.6866666666666661,,,,,,107,,0.08000000000000096,-0.09333333333333327
,coord_or_boundary,,p3_m04,,-0.38000000000000034,-0.5066666666666668,-0.35999999999999943,p0,2.4400000000000004,,,2.566666666666667,-0.1266666666666667,,,,2.06,,0.5066666666666668,,,,,,108,,-0.07999999999999963,-0.0066666666666659324
,coord_or_boundary,,p3_m04,,-0.29333333333333256,-0.3733333333333331,-0.24666666666666615,p0,2.4399999999999995,,,2.52,-0.09333333333333327,,,,2.146666666666667,,0.3733333333333331,,,,,,109,,-0.020000000000000462,-0.10666666666666647
,coord_or_boundary,,p3_m04,,-0.1466666666666665,-0.5200000000000005,-0.4733333333333327,p0,2.3333333333333335,,,2.7066666666666674,-0.13000000000000012,,,,2.186666666666667,,0.5200000000000005,,,,,,110,,-0.2333333333333334,-0.06666666666666643
,coord_or_boundary,,p3_m04,,-0.12666666666666648,-0.7666666666666666,-0.5733333333333333,p0,2.1933333333333334,,,2.8333333333333335,-0.19166666666666665,,,,2.066666666666667,,0.7666666666666666,,,,,,111,,-0.06666666666666599,-0.033333333333333215
,anti,,p3_m05,,-0.17333333333333356,-0.07333333333333347,-0.046666666666666856,p0,1.7866666666666666,,,1.6866666666666665,-0.016296296296296326,,,,1.613333333333333,,0.17333333333333356,,,,,,102,,-0.06333333333333324,-0.0033333333333334103
,anti,,p3_m05,,-0.2333333333333334,-0.44333333333333336,-0.44333333333333336,p0,1.66,,,1.8699999999999999,-0.09851851851851852,,,,1.4266666666666665,,0.44333333333333336,,,,,,103,,-0.1366666666666665,0.010000000000000231
,anti,,p3_m05,,-0.4433333333333338,-0.28000000000000047,-0.25000000000000044,p0,1.9166666666666667,,,1.7533333333333334,-0.062222222222222325,,,,1.473333333333333,,0.4433333333333338,,,,,,104,,-0.01333333333333342,0.06333333333333346
,anti,,p3_m05,,-0.5066666666666668,-0.31000000000000005,-0.31999999999999984,p0,1.8599999999999999,,,1.663333333333333,-0.0688888888888889,,,,1.353333333333333,,0.5066666666666668,,,,,,105,,0.06333333333333346,-2.220446049250313e-16
